community_id,label,description,secondary_label,secondary_description,unaccounted_titles,groups_json,titles_missing_from_groups,secondary_group_size
32,Object agency and biographical approaches,"This cluster is defined by a theoretical focus on the agency of material culture, treating objects as active participants in social life rather than passive artifacts. The titles explore how things have 'lives' or 'wants' and how they mediate relationships between people and the world.",Theoretical frameworks on materiality and metaphor,A second group of 3 titles shares this theme.,The Northern Sword in the British Isles and Beyond: A Study of the Occurrence and Typology of Swords from the 8th to the 10th Century AD,"[{""theme"": ""Agency and biography of material objects"", ""titles"": [""Connectedness with Things. Animated objects of Viking Age Scandinavia and Early Medieval Europe. Archaeological dialogues"", ""Biographical Objects: How Things Tell the Stories of People's Lives"", ""What Do Objects Want?"", ""Inalienable Wealth""]}, {""theme"": ""Specific case studies of animated or sacred objects"", ""titles"": [""Living places or animated objects? sámi sacrificial places with metal objects and their south scandinavian parallels"", ""Ship grave hall passage. The Oseberg monument as compound meaning""]}, {""theme"": ""Theoretical frameworks on materiality and metaphor"", ""titles"": [""Material Culture and Sacred Landscape: The Anthropology of the Siberian Khanty"", ""Cosmological deixis and Amerindian perspectivism. A view from Amazonia"", ""Body Metaphors and Technologies of Transformation in the English Middle and Late Bronze Age""]}, {""theme"": ""Typological studies of weapons"", ""titles"": [""The Northern Sword in the British Isles and Beyond: A Study of the Occurrence and Typology of Swords from the 8th to the 10th Century AD""]}]",,3
34,Burial archaeology and conversion periods,"The cluster centers on the archaeological study of burial practices during the transition from paganism to Christianity in Northern Europe. It examines how grave goods, cemetery locations, and burial customs reflect the complex dynamics of religious conversion and cultural continuity.",Medieval burial archaeology and necrophobia,A second group of 3 titles shares this theme.,,"[{""theme"": ""Burial practices during religious conversion"", ""titles"": [""An Archeology of Moments: Christian Conversion and Practice in a Medieval Household Cemetery"", ""Religionsskiftet i norden. brytinger mellom nordisk og eropeisk kultur 800-1200"", ""The Use of Grave-Goods in Conversion-Period Enland c. 600-c. 850"", ""From Death to Life in Medieval Hamar. Skeletons and Graves as Historical Source Material [Conversion and burial customs in Norway: a question on continuation""]}, {""theme"": ""Medieval burial archaeology and necrophobia"", ""titles"": [""Death and Burial in Medieval England, 1066-1550"", ""Unusual Burials and Necrophobia: Insight into the Burial Archaeology of Fear"", ""Burying the socially and physically distinctive in later Anglo-Saxon England""]}, {""theme"": ""Specific sacred sites and church organization"", ""titles"": [""Kirkjur Reykholts"", ""Early church organization of Skagafjo¨rôur, North Iceland. The results of the Skagafjo¨rôur Church Project"", ""Keldudalur: A sacred place in pagan and Christian times in Iceland""]}]",,3
65,Marine radiocarbon and isotopic analysis methods,This cluster is organized around the methodological challenges of dating marine samples and analyzing diet/mobility using stable isotopes. The titles focus heavily on correcting for marine reservoir effects and interpreting isotopic data to understand ancient human and animal interactions with marine environments.,Marine mammal exploitation and Arctic settlements,A second group of 3 titles shares this theme.,Weaving wealth: Cloth and trade in Viking Age and medieval Iceland,"[{""theme"": ""Marine radiocarbon dating and reservoir effects"", ""titles"": [""Methods of Summarising Radiocarbon Datasets"", ""Content of 14C in marine mammals from northern Europe"", ""Radiocarbon age calibration of marine samples back to 9000 cal yr BP"", ""Methodological Approaches to Determining the Marine Radiocarbon Reservoir Effect""]}, {""theme"": ""Dietary and mobility analysis via isotopes"", ""titles"": [""Deciphering diet and monitoring movement: Multiple stable isotope analysis of the Viking Age settlement at Hofstaðir"", ""Sulphur isotopic variation in ancient bone collagen from europe: implications for human palaeodiet, residence mobility, and modern pollutant studies""]}, {""theme"": ""Marine mammal exploitation and Arctic settlements"", ""titles"": [""Dorset, Norse, or Thule? Technological transfers, marine mammal contamination, and AMS dating of spun yarn and textiles from the Eastern Canadian Arctic"", ""Tidlig mesolitiska säljägare i tyrestad för 10000 år sedan -späckbetong, gråsäl og tomtning på en klippe i anclussjön 120 km från fastlandet"", ""Preliminary Results of Archaeological Investigations in the Bache Peninsula Region""]}, {""theme"": ""Textile production and trade"", ""titles"": [""Weaving wealth: Cloth and trade in Viking Age and medieval Iceland""]}]",Journal of Archaeological Science,3
1,Social dynamics and maritime networks,"The cluster is defined by a focus on social organization, resilience, and the dynamics of interaction across the North Sea and Baltic regions. It combines theoretical approaches to collapse and anarchistic action with specific studies of maritime learning, trade routes, and cross-cultural exchanges.",Social organization and resilience in the North Sea region,A second group of 3 titles shares this theme.,,"[{""theme"": ""Social organization and resilience in the North Sea region"", ""titles"": [""Crossing the Maelstrom: New Departures in Viking Archaeology"", ""Questioning Collapse: Human Resilience, Ecological Vulnerability, and the Aftermath of Empire"", ""Anarchistic action: Social organization and dynamics in southern Scandinavia from the Iron Age to the Middle Ages""]}, {""theme"": ""Maritime networks and specific site excavations"", ""titles"": [""Birkas skepp: Vikingatid på östersjön"", ""Maritim laering i vikingetiden: om praksisfaellesskabets marginale deltager"", ""Cille Pheadair: A Norse Farmstead and Pictish Burial Cairn in South Uist"", ""Wikinger und Balten an der Memel, Die Ausgrabungen des frühgeschichtlichen Gräberfeldes von Linkuhnen in Ostpreußen 1928-1939""]}, {""theme"": ""Gender, crafts, and cross-cultural interactions"", ""titles"": [""Pa mannens karlek vilar kvinnans varde. kvinnliga artefakter bland mannliga aktérer i det vikingatida ryssland"", ""Crafts and Social Networks in Viking Towns"", ""Scandinavian Culture in Medieval Poland, Institute of Archaeology and Ethnology""]}]",,3
22,Sacred Iron Age sites and offerings,"This cluster is centered on the archaeology of sacred places in Iron Age Sweden, specifically focusing on water offerings (vattenoffer) and the material culture associated with cultic sites like 'vi' locations. The titles explore the environmental and cultural contexts of these ritual spaces.",,,Patterns in Comparative Religion | Gravfält från vendeltid och vikingatid samt några gravar och boplatslämningar från bronsålder | Mosefund -Stratigrafi Og Kronologi,"[{""theme"": ""Sacred places and ritual offerings in Iron Age Sweden"", ""titles"": [""De heliga platsernas arkeologimateriell kultur och miljöer i järnålderns mellansverige"", ""Vattenoffer"", ""Ett 'Frös-vi' i Nerike"", ""Gudar och glasbägare -järnåldersgården i Lunda\"". I: Gunnar Andersson & Eva Skyllberg (red.), Gestalter och gestaltningar. Om tid, rum och händelser på Lunda. (Riksantikvarieämbetet, arkeologiska undersökningar. Skrifter 72.) Stockholm: Riksantikvarieämbetet""]}, {""theme"": ""Water routes and regional history"", ""titles"": [""I: gunnar olsson et al. (red.), långhundraleden -en seglats i tid och rum. 50 bidrag om den gamla vattenleden från trälhavet till uppsala genom årtusendena, sammanställda av arbetsgruppen långhundraleden""]}, {""theme"": ""Grave fields and stratigraphy"", ""titles"": [""Gravfält från vendeltid och vikingatid samt några gravar och boplatslämningar från bronsålder"", ""Mosefund -Stratigrafi Og Kronologi""]}, {""theme"": ""Comparative religion"", ""titles"": [""Patterns in Comparative Religion""]}]",Anteckningar om Gotlands medeltid 2 | Isberg citerad i Lundholm,2
111,Viking diaspora settlements and material culture,"The cluster is organized around the archaeological investigation of Viking Age settlements and cultural interactions in Britain and Ireland. It combines excavation reports from key sites like Dublin and Thetford with studies on specific artifacts, such as steatite vessels, to trace migration and trade patterns.",,,Provenance of Medieval Pietra Ollare Artefacts Found in Archaeological Sites of Central-Eastern Italy: Insights into the Alpine Soapstone Trade,"[{""theme"": ""Viking diaspora and settlement archaeology in Britain and Ireland"", ""titles"": [""Steatite Vessels and the Viking Diaspora: Migrants, Travellers, and Cultural Change in Early Medieval Britain and Ireland"", ""St Neots, Cambridgeshire (Excavation Report)"", ""Portmahomack, monastery of the Picts"", ""Excavations in Thetford, 1948-59 and 1973-80"", ""Little Paxton, Cambridgeshire (Excavation Report)"", ""A Viking Age maritime haven: a reassessment of the island settlement at Beginish, Co. Kerry"", ""The archaeology of Viking Dublin""]}, {""theme"": ""Provenance and trade of specific artifacts"", ""titles"": [""Provenance of Medieval Pietra Ollare Artefacts Found in Archaeological Sites of Central-Eastern Italy: Insights into the Alpine Soapstone Trade""]}, {""theme"": ""Dietary mobility studies"", ""titles"": [""Sulphur isotopic variation in ancient bone collagen from europe: implications for human palaeodiet, residence mobility, and modern pollutant studies""]}, {""theme"": ""Maritime routes and navigation"", ""titles"": [""Ships, navigation and routes in the reports of Ohthere and Wulfstan""]}]",,1
104,Viking Age Finland and Fennoscandian interactions,"This cluster focuses on the specific role of Finland and Karelia within the broader Viking World, examining archaeological evidence for Viking presence, local boat development, and the interaction between Scandinavian settlers and indigenous Uralic populations.",Linguistic and cultural continuity in Fennoscandia,A second group of 3 titles shares this theme.,Esihistoria: Pohjois-Pohjanmaan ja Lapin Historia 1,"[{""theme"": ""Viking Age presence and interactions in Finland and Karelia"", ""titles"": [""Finland as a part of the 'Viking World'"", ""The Viking Age in Finland"", ""Viikinkiaika"", ""Karelians in the North of Fennoscandia in the 11th-13th Centuries: A View from the East""]}, {""theme"": ""Maritime technology and boat types"", ""titles"": [""Wilderness Commerce and the Development of Boat Types: The Remains of the Hartola Boat""]}, {""theme"": ""Linguistic and cultural continuity in Fennoscandia"", ""titles"": [""The Borrowing of Place-names in the Uralic Languages"", ""Jatkuvusperustelut ja saamelaisen kielen leviäminen: osa 2"", ""Hårdalar, namnet karis och den första nedtecknade händelsen i finlands historia. finsk tidskrift: kultur -ekonomi -politik 2008""]}, {""theme"": ""Weapons and ornaments in the region"", ""titles"": [""Luistari IV: A History of Weapons and Ornaments""]}]",Esihistoria: Pohjois-Pohjanmaan ja Lapin Historia 1 | Jatkuvuusperustelut ja saamelaisen kielen leviäminen: osa 2,3
165,Neolithic transformation and migration discourses,"The cluster is organized around the major societal transformations of the 3rd millennium BC, focusing on the shift to pastoralism (Secondary Products Revolution), the spread of steppe ancestry via aDNA studies, and the associated demographic changes and disease dynamics.",,,Archaeological Semiotics | Re-integrating Archaeology: A Contribution to aDNA Studies and the Migration Discourse on the 3rd Millennium BC in Europe | Emergence and Spread of Basal Lineages of Yersinia pestis during the Neolithic Decline,"[{""theme"": ""Neolithic societies and the Secondary Products Revolution"", ""titles"": [""The Transformation of Neolithic Societies: An Eastern Danish Perspective on the 3rd Millennium BC"", ""Plough and Pastoralism: Aspects of the Secondary Products Revolution"", ""Tradition und Wandel der sozialen Strukturen vom 3. zum 2. vorchristlichen Jahrtausend""]}, {""theme"": ""Migration, genetics, and disease in prehistory"", ""titles"": [""Re-integrating Archaeology: A Contribution to aDNA Studies and the Migration Discourse on the 3rd Millennium BC in Europe"", ""Emergence and Spread of Basal Lineages of Yersinia pestis during the Neolithic Decline""]}, {""theme"": ""Bronze Age origins and cultural diffusion"", ""titles"": [""The Horse, the Wheel, and Language: How Bronze-Age Riders from the Eurasian Steppes Shaped the Modern World"", ""Die absolutchronologische Datierung der Schnurkeramik in Mitteleuropa und Südskandinavien""]}, {""theme"": ""Pottery production and mobility"", ""titles"": [""Mobility and Pottery Production: Archaeological and Anthropological Perspectives""]}, {""theme"": ""Specific cultural studies"", ""titles"": [""Archaeological Semiotics"", ""Studier over den Jyske Enkeltgravskulturen""]}]",,2
174,Baltic and Eastern Scandinavian Contacts,"This cluster is organized around the axis of cultural interaction and identity formation between Scandinavians and Baltic Finnic peoples. The titles collectively examine archaeological evidence such as pottery, graves, and objects to trace trade, warfare, and colonization in the eastern Baltic and Novgorod regions during the Viking Age.",,,"Die Textilfunde aus dem Hafen von Haithabu, mit Beiträgen von G. Grenander Nyberg und H. Schweppe. Berichte über die Ausgrabungen in Haithabu 20 | The Fashioned Body: Fashion, Dress and Modern Social Theory | Sagans svenskar: synen på vikingatiden och de isländska sagorna som historia under 300 år","[{""theme"": ""Baltic and Eastern Scandinavian Contacts"", ""titles"": [""Contacts, identity and hybridity: Objects from south-western Finland in the Birka graves"", ""Our Man in Pskov -Birka's Baltic Connection in the 9th and 10th Centuries. Pottery as a Source for Tracing Cultural Interaction"", ""Tarandgravar -en ny typ i en tid av förändrade samhällsstrukturer"", ""Natal'ja v. Finny na zapade Novgorodskoj zemli (Summary: Finns in the west of the Novgorod land)"", ""Gutarnas förbindelser med Finland"", ""Warfare, trade or colonization? Some general remarks on the eastern expansion of the Scandinavians in the Viking period // The Rural Viking in Russia and Sweden / Hg"", ""Sveriges Förbindelser med Östern under Vikingatiden""]}, {""theme"": ""Textiles and Dress"", ""titles"": [""Die Textilfunde aus dem Hafen von Haithabu, mit Beiträgen von G. Grenander Nyberg und H. Schweppe. Berichte über die Ausgrabungen in Haithabu 20""]}, {""theme"": ""Historiography and Sagas"", ""titles"": [""Sagans svenskar: synen på vikingatiden och de isländska sagorna som historia under 300 år""]}, {""theme"": ""Modern Social Theory on Dress"", ""titles"": [""The Fashioned Body: Fashion, Dress and Modern Social Theory""]}]",,1
183,Monetary Systems and Coinage in Early Medieval Scandinavia,"The dominant theme is the economic infrastructure of early medieval Scandinavia, specifically focusing on the use of coins, hacksilber, and precious metal rings as currency. The titles explore the transition from Roman coinage to local monetary practices, the function of money in barbaricum, and the associated weight systems used for valuation.",,,Central Places in the Migration and Merovingian Periods. Papers from the 52nd Sachsensymposium. Lund: Almqvist | Vaegtsystemer I Aeldre Germansk Jernalder,"[{""theme"": ""Monetary Systems and Coinage"", ""titles"": [""Monetary practices in early medieval western Scandinavia (5th-10th centuries AD)"", ""Where did the late empire end? Hacksilber and coins in Continental and northern Barbaricum c ad 340-500"", ""Roman Coins in Scandinavia: Some Remarks From the Continental Perspective"", ""Norske guldfund fra folkevandringstiden, Bergen Museums Aarbok 1920-21. Historiskantikvarisk raekke nr"", ""Justerede ringe af aedelmetal fra germansk jernalder og vikingetid"", ""Münzfunktionen in der Kaiserzeit und Völkerwanderungszeit Dänemarks"", ""Pengeøkonomi og prestisjeøkonomi i romersk jernalder""]}, {""theme"": ""Weights and Measures"", ""titles"": [""Vaegtsystemer I Aeldre Germansk Jernalder""]}]","Central Places in the Migration and Merovingian Periods. Papers from the 52nd Sachsensymposium. Lund: Almqvist | Economic Action and Social Structure: The Problem of Embeddedness | Norske guldfund fra folkevandringstiden, Bergen Museums Aarbok 1920-21. Historiskantikvarisk raekke nr 2",1
249,Baltic Finnic Cultural Areas and Contacts,"This cluster centers on the archaeological study of Baltic Finnic peoples, their cultural areas (Karelia, Finland, Estonia), and their interactions with Scandinavian neighbors. The titles utilize ceramic data, settlement patterns, and religious practices to define ethnic boundaries and social dynamics in the Northern Baltic region during the Late Iron Age.",,,"Ethnicity in Complex Societies: Archaeological Perspectives | Late Prehistoric Cruciform Pendants and the Problem of Early Christianity in Finland | Reflections on Church Historians, Archaeologists and Early Christianity in Finland | Turun maakuntamuseo 19","[{""theme"": ""Baltic Finnic Cultural Areas and Contacts"", ""titles"": [""Bringing \""the periphery\"" into focus: Social interaction between Baltic Finns and the Svear in the Viking Age and Crusade period (c. 800 to 1200)"", ""Contacts in the Northern Baltic Region as Shown by Ceramics"", ""Finno-Ugric paganism and Old Russia (Based on Archaeological Data)"", ""Karelia and the West-Finnish Cultural Area in the Late Iron Age"", ""Eesti hilisrauaaja savinõud (11. sajandist 13. sajandi keskpaigani)/Latest Iron Age Pottery in Estonia"", ""Die Eisenzeit im Auraflussgebiet. Suomen Muinaismuistoyhdistyksen Aikakauskirja xlii""]}, {""theme"": ""Early Christianity and Paganism in Finland"", ""titles"": [""Late Prehistoric Cruciform Pendants and the Problem of Early Christianity in Finland"", ""Reflections on Church Historians, Archaeologists and Early Christianity in Finland""]}, {""theme"": ""Ethnicity Theory"", ""titles"": [""Ethnicity in Complex Societies: Archaeological Perspectives""]}]",Turun maakuntamuseo 19,2
23,Post-Burial Practices and Death Ontologies,"The cluster is organized around the theoretical axis of death, memory, and the materiality of the dead in the Late Iron Age. Titles explore how societies interacted with graves after burial, the reuse of monuments as a form of collective memory, and the ontological implications of these practices through posthumanist and cultural anthropological lenses.",,,"The past in the past: The Re-Use of Ancient Monuments | Reuse in the Finnish Cremation Cemeteries under Level Ground -examples of Collective Memory | Den gamla döden och den nya: om vikingatidens förkristna begravningar, religiösa idéer och religionsskiftet. jönköping: jönköpings läns museum | Återkomst och återbruk. kulten av det förflutna under den yngsta järnåldern | Djur och människor: posthumanistiska perspektiv på yngre järnålderns gravar | Ur-und frühgeschichtlicher Grabraub: Archäologische Interpretation und kulturanthropologische Erklärung","[{""theme"": ""Post-Burial Practices and Death Ontologies"", ""titles"": [""The materiality of the ancient dead: Post-burial practices and ontologies of death in southern Sweden AD 800-1200"", ""Grave encounters: Ontological aspects of post-burial interaction in the Late Iron Age of central eastern Sweden"", ""Djur och människor: posthumanistiska perspektiv på yngre järnålderns gravar"", ""Återkomst och återbruk. kulten av det förflutna under den yngsta järnåldern"", ""Den gamla döden och den nya: om vikingatidens förkristna begravningar, religiösa idéer och religionsskiftet. jönköping: jönköpings läns museum""]}, {""theme"": ""Monument Reuse and Collective Memory"", ""titles"": [""Reuse in the Finnish Cremation Cemeteries under Level Ground -examples of Collective Memory"", ""The past in the past: The Re-Use of Ancient Monuments""]}, {""theme"": ""Grave Robbery"", ""titles"": [""Ur-und frühgeschichtlicher Grabraub: Archäologische Interpretation und kulturanthropologische Erklärung""]}]","Pfosten, Ständer und Schwelle und der Übergang vom Pfosten-zum Ständerbau -Eine Studie zu Innovation und Beharrung im Hausbau. Zu Konstruktion und Haltbarkeit prähistorischer bis neuzeitlicher Holzbauten von den Nord-und Ostseeländern bis zu den Alpen | Utviklingen av hushold og håndverk i Oslos tidlige middelalder. Urbaniseringsprosessen belyst ved aktivitetsanalyser fra Søndre felt og Mindets tomt. Hovedoppgave. IAKH, Det humanistiske fakultet",2
135,Viking Settlement and Great Army in England,"This cluster focuses on the military and settlement history of Vikings in Northern England, specifically the movements and legacy of the Great Army. The titles utilize landscape archaeology, metal-detected finds, and site evaluations to trace the shift from winter camps to permanent settlements in Northumbria and Lincolnshire.",Anglo-Saxon and Viking Economy in Northumbria,A second group of 3 titles shares this theme.,"Viking identities: Scandinavian jewellery in England. Medieval history and archaeology | The Anglo-Saxon Chronicle, Eyre & Spottiswoode | Cottam, Cowlam and environs: an Anglo-Saxon estate on the Yorkshire Wolds","[{""theme"": ""Viking Settlement and Great Army in England"", ""titles"": [""The scale and impact of Viking settlement in Northumbria"", ""In search of the Viking Great Army: Beyond the winter camps"", ""The Viking Great Army and its legacy: plotting settlement shift using metal-detected finds"", ""Archaeological Evaluation of the Anglo-Saxon and Viking site at Torksey, Lincolnshire. York: Archaeology Data Service""]}, {""theme"": ""Anglo-Saxon and Viking Economy in Northumbria"", ""titles"": [""Anglo-Saxon landscape and economy: using portable antiquities to study Anglo-Saxon and Viking Age England"", ""Finds of sceattas and stycas from Sancton"", ""Where There's Muck There's Brass!' Coinage in the Northumbrian Landscape and Economy""]}, {""theme"": ""Viking Identities and Jewellery"", ""titles"": [""Viking identities: Scandinavian jewellery in England. Medieval history and archaeology""]}]","Cottam, Cowlam and environs: an Anglo-Saxon estate on the Yorkshire Wolds | The Anglo-Saxon Chronicle, Eyre & Spottiswoode",3
156,Theoretical Approaches to Time and Settlement in Danish Archaeology,"The cluster is organized around theoretical frameworks for understanding time, space, and social complexity in Danish settlement archaeology. Titles discuss assemblage theory, the materiality of thought, landscape making, and the structural evolution of Iron Age settlements from single farms to villages.",,,"Digital National Archive [online, Password Needed | Vendehøj -landsby og gravplads | Om at Udgrave Stolpehuller","[{""theme"": ""Time, Settlement Structure, and Assemblage Theory"", ""titles"": [""Temporalising the House: Exploring Alternative Perspectives on Time and the Archaeological Record Within Danish Settlement Archaeology"", ""The archaeology of time"", ""Material Cultures, Material Minds: The Impact of Things on Human Thought, Society, and Evolution"", ""Landscape Archaeology: Of Making and Seeing"", ""Kulturwandel in spannungsfeld von tradition und innovation"", ""Single farm or village? Relections on the settlement structure of the Iron Age and the Viking period"", ""A New Philosophy of Society. Assemblage Theory and Social Complexity""]}, {""theme"": ""Specific Settlement Sites"", ""titles"": [""Om at Udgrave Stolpehuller"", ""Vendehøj -landsby og gravplads""]}]","Digital National Archive [online, Password Needed",2
202,Genetic and Isotopic Analysis of Viking Populations,"This cluster is defined by the application of scientific methods, specifically genetics and stable isotopes, to reconstruct Viking Age population dynamics. The titles focus on migration patterns, kinship studies, and social differentiation (rich vs. poor) through DNA analysis in towns like Sigtuna and Stockholm.",,,Developmental Juvenile Osteology | A Newly Developed Visual Method of Sexing the Os Pubis | Was the C282Y mutation an Irish Gaelic mutation that the Vikings help disseminate? | The half-life of87Rb measured as difference between the isotopes87Rb and85Rb | Multiculturalism on Hadrian's Wal | Sigtuna,"[{""theme"": ""Genetic and Isotopic Analysis of Viking Populations"", ""titles"": [""Genomic and Strontium Isotope Variation Reveal Immigration Patterns in a Viking Age Town"", ""Rare mtDNA haplogroups and genetic differences in rich and poor Danish Iron-Age rstb.royalsocietypublishing.org Phil"", ""Excavating past Population Structures by Surname-Based Sampling: The Genetic Legacy of the Vikings in Northwest England"", ""Finding the founder of Stockholm e a kinship study based on Y-chromosomal, autosomal and mitochondrial DNA""]}, {""theme"": ""Osteological Methods"", ""titles"": [""A Newly Developed Visual Method of Sexing the Os Pubis"", ""Developmental Juvenile Osteology""]}]",Multiculturalism on Hadrian's Wal | Sigtuna | The half-life of87Rb measured as difference between the isotopes87Rb and85Rb | Was the C282Y mutation an Irish Gaelic mutation that the Vikings help disseminate?,2
62,Viking Age Burial Sites and Cemeteries in Denmark,"The cluster is organized around specific archaeological excavations of burial grounds and cemeteries across Denmark. Titles document grave customs, specific finds from Funen and Roskilde, and the broader context of Danish graves ranging from the Pre-Roman Iron Age to the Viking period.",,,"Haldum. I: A. Damm (red.): Vikingernes Aros, s. 7275 | Hestebilleder. Festskrift til Olaf Olsen på 60-års dagen den 7. juni 1988, 93102. Det Kongelige Nordiske Oldskriftselskab | Fra tørv til tolkning -yngre bronzealders og aeldre jernalders lig fra danske moser. i: h. lyngstrøm & b. storgaard (red.): brudstykker af en helhed -specialer i forhistorisk arkaeologi | En vikingeboplads ved Højby","[{""theme"": ""Viking Age Burial Sites and Cemeteries in Denmark"", ""titles"": [""Vikingetidens gravskik i Danmark"", ""Strandgrave ved Bilidt. Simblegård-Trelleborg. Danske gravfund fra førromersk jernalder til vikingetid, s. 218228"", ""Ein Gräberfeld der jüngeren Eisenzeit auf Funen"", ""Gerdrupgraven. ROMU II. Årsskrift fra Roskilde Museum"", ""Dråby grav 1, grav 2 og grav 10"", ""Vikingegravpladsen ved Enghøj. Kulturhistorisk Museums Årbog""]}, {""theme"": ""Settlement and Excavation Reports"", ""titles"": [""En vikingeboplads ved Højby"", ""Haldum. I: A. Damm (red.): Vikingernes Aros, s. 7275""]}, {""theme"": ""Mummification and Bog Bodies"", ""titles"": [""Fra tørv til tolkning -yngre bronzealders og aeldre jernalders lig fra danske moser. i: h. lyngstrøm & b. storgaard (red.): brudstykker af en helhed -specialer i forhistorisk arkaeologi""]}]","Hestebilleder. Festskrift til Olaf Olsen på 60-års dagen den 7. juni 1988, 93102. Det Kongelige Nordiske Oldskriftselskab",2
113,"Material Culture, Technology, and Symbolism in Archaeology","This cluster focuses on the theoretical and practical aspects of material culture analysis, emphasizing how objects like coins, iron tools, and silver hoards reflect social values, technological transformation, and symbolic meaning. It bridges prehistoric and historical archaeology through the lens of ethnographic perspectives and culture contact.",,,"Mellan Stengrund Och Stenhus. Gotlands Vikingatida Silverskatter Som Boplatsindikation | A History of Money From Ancient Times to the Present Day | The euro changeover and numerical intuition for prices in the old and new currencies | Sound, color and meaning in the metallurgy of ancient West Mexico | Das spätrömisch-frühmittelalterliche Gräberfeld von Kaiseraugst","[{""theme"": ""Material Culture, Technology, and Symbolism"", ""titles"": [""Rethinking Numismatics: The Archaeology of Coins"", ""The homecoming of religious practice. An analysis of offering sites in the wet low-lying parts of the landscape in the Oer-IJ area (2500 BC-AD 450"", ""Culture Contact Studies. Redefining the Relationship Between Prehistoric and Historical Archaeology"", ""Material Culture in the Social World. Values, Activities, Lifestyles"", ""Technology, Transformation and Symbolism. Ethnographic Perspectives on European Iron Working""]}, {""theme"": ""Silver Hoards as Settlement Indicators"", ""titles"": [""Mellan Stengrund Och Stenhus. Gotlands Vikingatida Silverskatter Som Boplatsindikation""]}]","A History of Money From Ancient Times to the Present Day | Das spätrömisch-frühmittelalterliche Gräberfeld von Kaiseraugst | Sound, color and meaning in the metallurgy of ancient West Mexico | The euro changeover and numerical intuition for prices in the old and new currencies",1
117,Archaeological Typology and Assemblage Theory in Settlement Studies,"The cluster is organized around the theoretical debate of classification, typology, and assemblage theory applied to archaeological houses and artifacts. Titles discuss the concept of 'types' in archaeology, relational typologies, and how material agency influences historical explanation, alongside specific case studies of farmsteads.",Specific Farmsteads and Medieval Houses,A second group of 5 titles shares this theme.,"Revisiting the Trelleborg House: A Discussion of House Types and Assemblages | Actor-Network Theory's Take on Archaeological Types: Becoming, Material Agency and Historical Explanation | On the concept of types | The Classification of Artifacts in Archaeology | Relational Typologies, Assemblage Theory and Early Bronze Age Burials","[{""theme"": ""House Types, Typology, and Assemblage Theory"", ""titles"": [""Revisiting the Trelleborg House: A Discussion of House Types and Assemblages"", ""Actor-Network Theory's Take on Archaeological Types: Becoming, Material Agency and Historical Explanation"", ""On the concept of types"", ""The Classification of Artifacts in Archaeology"", ""Relational Typologies, Assemblage Theory and Early Bronze Age Burials""]}, {""theme"": ""Specific Farmsteads and Medieval Houses"", ""titles"": [""Vikingegårde ved Nørre Felding kirke"", ""Att bygga aristokrati -spår efter en aristokratisk livsstil på det tidigmedeltida godset i lockarp"", ""Vaerløse Vest"", ""Middelalderhuse"", ""Huseby i Värend. Gårdsbebyggelse från järnålder och historisk tid""]}]",,5
279,Viking Age Archaeobotany and Plant Use,"This cluster is organized around the analysis of plant remains to reconstruct diet, agriculture, and garden practices in Viking Age and medieval Scandinavia. The titles collectively examine specific crops like fruits and nuts, as well as the methodological approaches for analyzing macroscopic plant residues from archaeological deposits.",,,Runestones and the conversion of Sweden | Der prähistorische Mensch und seine Umwelt. Forschungen und Berichte zur Vor-und Frühgeschichte | Arkaeologi og naturvidenskab i et vaerkstedsområde fra det tidlige,"[{""theme"": ""Viking Age and Medieval Plant Use in Scandinavia"", ""titles"": [""Viking Age garden plants from southern Scandinavia: Diversity, taphonomy and cultural aspects"", ""Die Dornenhecke, der Kirschgarten und der Hafen von Haithabu. Weiteres zum Steinobst aus Haithabu"", ""Arkeologi och arkeobotanik: växtmaterial som kundskapskällaatt analysera och tolka de fysiska lämningarna efter människor, mat och aktiviteter"", ""The plants used in a Viking Age Garden A.D. 800-1050"", ""Makroskopiske planterester fra det aeldste århus"", ""Biological evidence from Anglo-Scandinavian deposits at 16-22 Coppergate"", ""Secondary Food Plants From Medieval Sites in Denmark: Fruits, Nuts, Vegetables, Herbs and Spices""]}, {""theme"": ""Runes and Conversion"", ""titles"": [""Runestones and the conversion of Sweden""]}, {""theme"": ""General Archaeobotany Methodology"", ""titles"": [""Der prähistorische Mensch und seine Umwelt. Forschungen und Berichte zur Vor-und Frühgeschichte"", ""Arkaeologi og naturvidenskab i et vaerkstedsområde fra det tidlige""]}]",,2
